effort_category,occupation,coins_earned,peer_category,bank_category,completed_games,started_games,session_time,games_last_90days,games_last_120days,games_last_150days,games_last_180days,games_last_210days,games_last_240days,games_last_270days,games_last_300days,games_last_330days,games_last_366days,angry_birds,cars,cricket,football,snooker,hockey,uninstalled_next_60d,age_rounded_closest_ten,fun_quotient
LOW,Professional,-360,tier iii,Scheduled PSU,56,231,4164,14,8,0,0,6,5,0,0,0,0,0,0,39,17,0,0,0,20,2
MEDIUM,Private Sector Service,-447,tier iii,Scheduled Private Bank,257,1139,21475,39,72,27,16,20,24,0,0,0,0,0,101,64,26,56,0,0,20,2
MEDIUM,Private Sector Service,-3820,tier iii,Scheduled Private Bank,7,15,220,0,0,0,0,0,7,0,0,0,0,0,0,3,4,0,0,1,20,2
MEDIUM,0,-2,tier iii,Scheduled Private Bank,36,69,1311,1,0,0,11,12,12,0,0,0,0,0,20,14,2,0,0,1,40,2
MEDIUM,Private Sector Service,-14,tier iii,Scheduled PSU,17,246,2653,0,0,0,0,0,14,0,0,0,0,0,1,16,0,0,0,1,20,2
MEDIUM,Private Sector Service,0,tier ii,Scheduled Private Bank,105,323,5981,25,23,15,9,17,2,0,0,0,0,0,86,1,18,0,0,0,20,3
MEDIUM,Private Sector Service,16,tier ii,Scheduled PSU,31,48,364,17,4,0,0,2,5,0,0,0,0,0,5,4,22,0,0,1,20,2
MEDIUM,Private Sector Service,-886,tier iii,Scheduled Private Bank,158,1124,22170,19,24,22,20,23,5,0,0,0,0,0,121,27,10,0,0,0,20,2
MEDIUM,Private Sector Service,976,tier iii,Scheduled Private Bank,5,9,100,0,0,0,2,3,0,0,0,0,0,0,0,1,4,0,0,0,20,2
HIGH,Agriculturist,-15,tier iii,Scheduled PSU,33,750,13634,3,1,0,6,15,7,0,0,0,0,0,15,2,16,0,0,0,40,2
HIGH,Government Service,0,tier iii,Scheduled PSU,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,20,2
MEDIUM,Government Service,-1,tier iii,Scheduled PSU,28,59,39,17,0,0,0,0,0,0,0,0,0,0,0,2,26,0,0,0,30,2
MEDIUM,Private Sector Service,0,tier iii,Scheduled PSU,10,13,0,0,0,0,0,1,9,0,0,0,0,0,0,1,9,0,0,1,20,2
MEDIUM,Private Sector Service,1,tier ii,Scheduled PSU,78,300,4978,7,2,8,9,15,16,0,0,0,0,0,50,8,20,0,0,0,20,2
MEDIUM,0,-164,tier iii,Scheduled PSU,11,117,2340,0,0,0,0,3,8,0,0,0,0,0,0,11,0,0,0,1,30,2
MEDIUM,Student,0,tier iii,Scheduled PSU,9,18,7,0,0,0,3,4,2,0,0,0,0,0,0,5,4,0,0,1,20,2
MEDIUM,Public Sector,6,tier iii,Scheduled Private Bank,60,138,1420,6,10,7,12,3,6,0,0,0,0,0,18,2,40,0,0,0,20,2
MEDIUM,Private Sector Service,-14,tier iii,Scheduled PSU,8,32,640,0,0,0,0,0,8,0,0,0,0,0,5,3,0,0,0,1,20,2
MEDIUM,Private Sector Service,0,tier i,Scheduled PSU,14,16,0,2,4,1,1,5,1,0,0,0,0,0,0,1,13,0,0,1,20,2
MEDIUM,Private Sector Service,-7,tier iii,Scheduled Private Bank,99,424,7844,15,13,20,20,22,4,0,0,0,0,0,76,7,16,0,0,0,20,2
MEDIUM,Public Sector,0,tier iii,Scheduled PSU,3,38,1,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,1,40,2
MEDIUM,Housewife,19,tier iii,Scheduled Private Bank,141,736,1770,35,18,20,7,17,12,0,0,0,0,0,1,18,122,0,0,0,20,2
MEDIUM,Private Sector Service,0,tier ii,Scheduled PSU,2,6,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,20,2
HIGH,Government Service,170,tier iii,Scheduled PSU,13,70,293,0,0,0,0,0,13,0,0,0,0,0,0,4,9,0,0,1,40,2
MEDIUM,Private Sector Service,50,tier iii,Scheduled PSU,43,102,259,1,6,6,0,6,14,0,0,0,0,0,0,4,39,0,0,1,20,2
MEDIUM,Private Sector Service,-3,tier iii,Scheduled Private Bank,10,19,47,0,0,0,1,0,9,0,0,0,0,0,0,4,6,0,0,1,20,2
MEDIUM,Private Sector Service,1,tier iii,Scheduled PSU,18,20,3,3,1,1,1,8,0,0,0,0,0,0,0,2,16,0,0,0,20,2
MEDIUM,Private Sector Service,69,tier iii,scheduled payments bank,17,56,975,0,0,0,1,5,11,0,0,0,0,0,9,3,5,0,0,1,20,2
MEDIUM,Student,0,tier iii,Scheduled PSU,3,4,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0,1,20,2
MEDIUM,Private Sector Service,55,tier iii,Scheduled Private Bank,43,131,1362,2,0,0,0,11,11,0,0,0,0,0,0,15,28,0,0,0,30,2
MEDIUM,Private Sector Service,3,tier ii,Scheduled PSU,7,10,7,0,0,0,0,2,5,0,0,0,0,0,0,1,6,0,0,0,20,2
MEDIUM,Private Sector Service,-1,tier ii,Scheduled Private Bank,93,1648,32222,28,31,4,0,0,7,0,0,0,0,0,79,5,8,1,0,1,20,2
MEDIUM,Private Sector Service,179,tier ii,Scheduled Private Bank,107,344,4890,7,12,11,14,21,17,0,0,0,0,0,0,56,51,0,0,0,20,2
LOW,Business,-181,tier iii,Scheduled Private Bank,365,1684,31033,54,74,74,53,67,11,0,0,0,0,33,146,65,50,5,0,0,20,2
LOW,Business,0,tier iii,Scheduled Private Bank,4,6,1,0,0,0,0,0,4,0,0,0,0,0,0,2,2,0,0,0,20,2
MEDIUM,Private Sector Service,-20,tier iii,Scheduled PSU,89,875,17343,14,21,16,12,8,3,0,0,0,0,0,83,4,2,0,0,0,30,2
MEDIUM,Private Sector Service,-9,tier iii,Scheduled Private Bank,35,43,40,9,3,4,3,3,6,0,0,0,0,0,0,1,34,0,0,0,20,3
MEDIUM,Private Sector Service,-17,tier iii,Scheduled Private Bank,70,185,496,18,6,1,2,10,9,0,0,0,0,0,2,9,59,0,0,0,30,2
MEDIUM,Private Sector Service,-1038,tier iii,Scheduled PSU,277,1673,31769,29,37,39,48,33,9,0,0,0,0,0,165,57,40,1,0,0,20,2
MEDIUM,Private Sector Service,24,tier iii,Scheduled Private Bank,1,4,51,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,20,3
MEDIUM,Private Sector Service,353,tier iii,Scheduled PSU,35,112,2202,2,12,4,1,0,0,0,0,0,0,0,10,21,0,0,0,0,20,2
MEDIUM,Student,101,tier iii,Scheduled PSU,12,81,1464,0,0,0,0,0,12,0,0,0,0,0,0,10,2,0,0,1,20,2
MEDIUM,Private Sector Service,-2310,tier ii,Scheduled Private Bank,38,237,4700,0,0,0,0,17,21,0,0,0,0,0,2,34,2,0,0,1,20,2
LOW,Business,-3,tier iii,Scheduled Private Bank,14,17,40,0,1,2,1,0,5,0,0,0,0,0,0,1,13,0,0,0,20,4
MEDIUM,Student,0,tier iii,Scheduled PSU,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,20,2
MEDIUM,Private Sector Service,-52,tier iii,Scheduled PSU,37,613,12184,10,0,0,0,7,0,0,0,0,0,0,26,10,1,0,0,0,20,2
MEDIUM,Private Sector Service,6,tier iii,Scheduled PSU,148,721,246,18,21,19,21,16,13,0,0,0,0,0,0,9,139,0,0,0,30,3
MEDIUM,Government Service,113,tier iii,Scheduled PSU,102,253,710,21,8,5,5,22,22,0,0,0,0,0,0,18,84,0,0,0,20,2
MEDIUM,Government Service,16,tier iii,Scheduled Private Bank,81,323,108,15,11,3,6,12,12,0,0,0,0,0,0,3,78,0,0,0,20,3
MEDIUM,Private Sector Service,2,tier iii,Scheduled Private Bank,16,30,121,0,0,0,6,1,8,0,0,0,0,0,0,2,14,0,0,0,20,2
LOW,Professional,2,tier iii,Scheduled PSU,7,25,119,0,0,0,1,0,6,0,0,0,0,0,0,7,0,0,0,1,20,2
MEDIUM,Private Sector Service,0,tier i,Scheduled Private Bank,8,14,8,1,0,0,0,2,5,0,0,0,0,0,0,1,7,0,0,1,40,3
MEDIUM,Agriculturist,0,tier iii,Scheduled Private Bank,4,5,0,0,0,0,0,0,4,0,0,0,0,0,0,1,3,0,0,1,30,2
MEDIUM,Private Sector Service,193,tier iii,Scheduled Private Bank,36,204,3820,3,4,6,0,0,1,0,0,0,0,0,21,2,13,0,0,0,30,3
MEDIUM,0,0,tier iii,Scheduled PSU,8,11,1,7,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,1,20,2
MEDIUM,Private Sector Service,-100,tier iii,Scheduled Private Bank,4,9,67,0,1,0,0,0,3,0,0,0,0,0,0,2,2,0,0,1,20,2
MEDIUM,0,30,tier ii,Scheduled PSU,17,25,73,1,3,1,0,0,9,0,0,0,0,0,0,4,13,0,0,1,20,2
MEDIUM,Private Sector Service,-17,tier ii,Scheduled Private Bank,33,171,3340,7,6,1,3,8,0,0,0,0,0,0,29,3,0,0,0,0,20,1
LOW,Business,-7,tier i,Scheduled Private Bank,18,108,146,0,0,0,1,1,16,0,0,0,0,0,0,4,14,0,0,1,20,3
MEDIUM,Private Sector Service,5,tier iii,Foreign banks,7,19,23,0,0,0,0,0,7,0,0,0,0,0,0,3,4,0,0,1,20,2
MEDIUM,Private Sector Service,-2,tier iii,Scheduled PSU,5,7,1,0,0,0,0,0,5,0,0,0,0,0,0,1,4,0,0,1,20,2
MEDIUM,Housewife,-20,tier iii,Scheduled PSU,135,1355,27025,16,15,18,18,13,22,0,0,0,0,0,132,3,0,0,0,0,20,2
MEDIUM,Private Sector Service,-4,tier iii,Scheduled PSU,9,24,101,1,4,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,30,2
MEDIUM,Private Sector Service,-23,tier iii,Scheduled Private Bank,19,51,503,0,0,1,12,1,5,0,0,0,0,0,0,10,9,0,0,0,20,2
LOW,Business,25,tier ii,scheduled payments bank,14,24,35,0,0,0,0,0,11,0,0,0,0,0,0,4,10,0,0,0,20,2
LOW,Business,38,tier iii,Scheduled PSU,2,4,80,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,20,2
LOW,Private Sector Service,696,tier i,Scheduled Private Bank,15,36,680,0,0,0,0,1,14,0,0,0,0,1,11,1,2,0,0,1,30,4
MEDIUM,Student,0,tier iii,Scheduled PSU,5,10,0,0,0,0,0,1,4,0,0,0,0,0,0,1,4,0,0,1,20,2
MEDIUM,Private Sector Service,1,tier ii,Scheduled PSU,3,6,2,0,0,0,1,0,2,0,0,0,0,0,0,1,2,0,0,1,20,2
MEDIUM,Government Service,0,tier iii,Scheduled PSU,10,19,0,0,0,0,1,5,4,0,0,0,0,0,0,1,9,0,0,1,20,2
LOW,Professional,0,tier ii,Scheduled PSU,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,20,1
MEDIUM,Private Sector Service,-404,tier iii,scheduled payments bank,16,31,339,0,0,1,0,5,10,0,0,0,0,0,0,6,10,0,0,1,20,2
MEDIUM,Government Service,6,tier iii,Scheduled PSU,7,22,137,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,20,3
MEDIUM,Private Sector Service,-403,tier ii,Scheduled Private Bank,46,1483,29651,0,0,0,5,27,14,0,0,0,0,0,31,4,0,0,0,1,30,3
MEDIUM,Private Sector Service,0,tier iii,Scheduled PSU,5,8,1,0,0,0,0,0,5,0,0,0,0,0,0,2,3,0,0,1,20,2
MEDIUM,Private Sector Service,15,tier ii,Scheduled PSU,37,98,640,3,3,7,3,13,6,0,0,0,0,0,5,2,30,0,0,0,20,2
MEDIUM,Agriculturist,609,tier iii,Scheduled PSU,57,175,3257,1,2,24,14,2,14,0,0,0,0,0,20,28,9,0,0,0,20,2
HIGH,Retired,484,tier ii,Scheduled PSU,164,808,5218,22,30,33,31,26,16,0,0,0,0,0,0,58,106,0,0,0,40,2
MEDIUM,Private Sector Service,29,tier iii,Scheduled Private Bank,21,90,989,0,0,0,0,3,18,0,0,0,0,0,0,21,0,0,0,1,20,2
MEDIUM,Student,-167,tier ii,Scheduled Private Bank,17,38,559,0,0,0,0,6,11,0,0,0,0,0,3,10,4,0,0,0,20,2
MEDIUM,Private Sector Service,-72,tier ii,Foreign banks,77,147,1301,17,8,4,10,18,6,0,0,0,0,0,0,20,57,0,0,0,20,2
MEDIUM,Professional,0,tier ii,Scheduled PSU,2,3,6,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,20,2
MEDIUM,Public Sector,0,tier ii,Scheduled PSU,29,44,12,2,0,0,1,6,16,0,0,0,0,0,0,3,26,0,0,0,20,2
MEDIUM,Private Sector Service,-35,tier ii,Scheduled PSU,87,248,3781,9,11,5,16,11,12,0,0,0,0,0,54,5,28,0,0,1,20,2
MEDIUM,Private Sector Service,30,tier iii,Scheduled PSU,18,27,264,2,3,0,1,4,8,0,0,0,0,0,0,6,12,0,0,1,30,2
MEDIUM,Private Sector Service,-57,tier iii,Scheduled Private Bank,5,25,460,4,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,20,2
MEDIUM,Private Sector Service,-66,tier i,Scheduled Private Bank,39,166,2700,0,7,11,0,7,14,0,0,0,0,14,0,3,22,0,0,0,20,3
LOW,Business,15,tier iii,scheduled payments bank,13,124,2009,2,0,0,0,2,8,0,0,0,0,0,0,9,4,0,0,1,20,2
MEDIUM,Housewife,-224,tier iii,Scheduled PSU,3,4,40,0,0,0,1,1,1,0,0,0,0,0,0,1,2,0,0,1,20,2
MEDIUM,Private Sector Service,15,tier iii,Scheduled Private Bank,42,115,200,11,0,1,2,7,5,0,0,0,0,0,0,4,38,0,0,0,30,3
MEDIUM,Private Sector Service,-4,tier iii,Scheduled PSU,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,20,2
MEDIUM,Public Sector,-4,tier ii,Scheduled Private Bank,3,4,40,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,30,3
MEDIUM,Private Sector Service,-82,tier iii,Scheduled PSU,156,635,7314,34,22,7,1,8,15,0,0,0,0,0,0,64,92,0,0,0,30,3
MEDIUM,Private Sector Service,20,tier iii,Scheduled Private Bank,56,123,534,9,7,11,7,13,6,0,0,0,0,0,0,12,44,0,0,0,20,2
MEDIUM,Private Sector Service,-2,tier ii,Scheduled PSU,5,6,4,0,0,0,0,3,2,0,0,0,0,0,0,1,4,0,0,1,20,2
MEDIUM,Public Sector,4,tier iii,Scheduled PSU,39,547,10920,10,2,0,0,2,4,0,0,0,0,0,37,1,1,0,0,0,20,1
MEDIUM,Private Sector Service,0,tier iii,Scheduled PSU,6,10,0,0,0,0,0,0,6,0,0,0,0,0,0,2,4,0,0,1,20,2
LOW,Business,-174,tier iii,Scheduled Private Bank,1,2,40,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,20,2
LOW,Business,25,tier ii,Scheduled Private Bank,155,874,11444,26,14,18,18,21,24,0,0,0,0,0,74,18,63,0,0,0,30,2
MEDIUM,Public Sector,-353,tier i,Scheduled PSU,89,571,10407,4,9,15,22,28,8,0,0,0,0,0,0,58,31,0,0,0,30,3
MEDIUM,Private Sector Service,0,tier ii,Scheduled PSU,5,10,2,0,0,0,0,0,5,0,0,0,0,0,0,1,4,0,0,1,20,2
MEDIUM,Business,-19,tier ii,Scheduled PSU,47,198,3122,16,6,0,1,0,0,0,0,0,0,0,16,17,14,0,0,0,30,2
MEDIUM,Student,2,tier iii,scheduled payments bank,2,24,1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,30,2
MEDIUM,Government Service,132,tier ii,Scheduled PSU,2,35,700,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,20,2
MEDIUM,Private Sector Service,184,tier ii,scheduled payments bank,27,46,520,1,0,0,9,10,7,0,0,0,0,0,0,10,17,0,0,0,20,2
MEDIUM,Private Sector Service,-753,tier ii,Scheduled Private Bank,152,1760,35040,21,19,17,17,20,22,0,0,0,0,0,147,3,2,0,0,0,30,3
LOW,Business,-3,tier iii,Scheduled Private Bank,4,6,12,1,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,20,2
MEDIUM,Private Sector Service,3,tier iii,Scheduled PSU,11,21,7,0,0,11,0,0,0,0,0,0,0,0,0,1,10,0,0,1,20,2
MEDIUM,Agriculturist,37,tier iii,Scheduled PSU,54,116,233,11,6,2,5,16,5,0,0,0,0,0,0,5,49,0,0,0,30,2
MEDIUM,Government Service,0,tier iii,Scheduled PSU,43,91,36,0,4,3,6,13,15,0,0,0,0,0,0,2,41,0,0,0,30,2
MEDIUM,Private Sector Service,-1,tier iii,Scheduled Private Bank,7,14,44,0,0,0,0,0,7,0,0,0,0,0,1,2,4,0,0,1,20,2
MEDIUM,Private Sector Service,-2,tier ii,Scheduled Private Bank,9,13,1,1,0,0,0,0,7,0,0,0,0,0,0,1,8,0,0,0,20,2
LOW,Business,-116,tier ii,Scheduled PSU,119,552,10080,7,19,32,30,23,8,0,0,0,0,9,63,14,25,0,0,1,30,3
LOW,Business,-7,tier i,Scheduled Private Bank,123,640,12388,13,17,16,18,17,5,0,0,0,0,1,111,4,7,0,0,0,30,3
MEDIUM,Public Sector,-620,tier iii,Scheduled PSU,242,2922,57706,34,30,22,22,35,48,0,0,0,0,0,163,29,15,0,0,0,20,2
LOW,Business,-96,tier iii,Scheduled PSU,42,141,2085,3,1,8,8,2,20,0,0,0,0,0,23,10,8,1,0,0,20,2
MEDIUM,Private Sector Service,-433,tier iii,Scheduled PSU,112,638,12620,16,20,20,12,20,17,0,0,0,0,1,94,8,6,0,0,1,20,2
MEDIUM,Private Sector Service,68,tier ii,Scheduled PSU,24,77,652,0,0,0,0,9,15,0,0,0,0,0,0,18,6,0,0,1,20,2
MEDIUM,Private Sector Service,1,tier iii,Scheduled PSU,91,220,40,10,4,4,17,19,13,0,0,0,0,0,0,1,90,0,0,0,30,2
LOW,Business,-5,tier iii,Scheduled PSU,16,25,22,2,0,0,5,5,4,0,0,0,0,0,0,3,13,0,0,1,20,2
MEDIUM,Public Sector,-215,tier iii,Scheduled PSU,31,181,3454,0,12,16,0,0,3,0,0,0,0,0,0,27,4,0,0,1,20,2
HIGH,0,6,tier iii,Scheduled PSU,24,63,842,0,0,0,0,0,15,0,0,0,0,0,0,24,0,0,0,1,20,2
LOW,Business,0,tier iii,Scheduled PSU,12,16,2,0,0,0,0,7,1,0,0,0,0,0,0,2,10,0,0,1,20,2
LOW,Business,-51,tier ii,Scheduled PSU,33,81,1397,0,0,6,14,8,0,0,0,0,0,0,0,26,7,0,0,0,20,2
MEDIUM,Professional,-283,tier ii,Scheduled PSU,79,219,4227,3,9,12,14,14,13,0,0,0,0,0,0,74,5,0,0,0,30,3
MEDIUM,Government Service,17,tier iii,Scheduled PSU,95,340,4350,15,13,15,11,15,2,0,0,0,0,0,14,10,71,0,0,0,20,2
MEDIUM,Private Sector Service,-4,tier ii,Scheduled PSU,7,26,7,0,0,0,0,0,7,0,0,0,0,0,0,3,4,0,0,1,20,5
HIGH,0,-1,tier i,Scheduled PSU,12,17,92,0,6,1,1,0,3,0,0,0,0,0,3,1,8,0,0,0,20,2
MEDIUM,Government Service,-40,tier iii,Scheduled PSU,80,302,5239,0,6,16,15,18,6,0,0,0,0,0,0,54,26,0,0,0,30,2
LOW,Business,-4,tier iii,Scheduled Private Bank,5,9,141,0,0,0,0,1,4,0,0,0,0,0,4,1,0,0,0,1,20,2
MEDIUM,Public Sector,1326,tier i,Scheduled Private Bank,152,1017,20280,20,20,12,18,25,21,0,0,0,0,0,150,2,0,0,0,0,30,2
MEDIUM,Private Sector Service,-496,tier ii,Scheduled Private Bank,17,60,1164,0,0,0,2,4,11,0,0,0,0,0,11,5,1,0,0,1,20,2
MEDIUM,Private Sector Service,-17,tier iii,Scheduled PSU,79,1624,32347,6,23,16,14,0,0,0,0,0,0,0,67,6,1,0,0,0,20,2
MEDIUM,Government Service,0,tier iii,Scheduled PSU,212,3397,64667,40,23,19,18,22,29,0,0,0,0,0,150,5,55,2,0,0,30,3
LOW,Business,-2,tier ii,Scheduled PSU,123,242,1969,12,22,8,10,16,8,0,0,0,0,0,23,25,75,0,0,0,40,2
MEDIUM,Student,0,tier iii,Scheduled PSU,11,24,69,0,1,0,0,0,9,0,0,0,0,0,0,10,1,0,0,1,20,1
MEDIUM,Private Sector Service,7,tier iii,Scheduled Private Bank,9,13,55,0,0,0,0,5,0,0,0,0,0,0,0,2,7,0,0,0,20,2
MEDIUM,Private Sector Service,-172,tier ii,Scheduled Private Bank,43,95,1460,0,0,0,9,20,13,0,0,0,0,0,1,29,13,0,0,1,40,3
MEDIUM,0,-240,tier iii,Scheduled PSU,9,17,145,0,3,4,2,0,0,0,0,0,0,0,0,2,7,0,0,0,20,3
MEDIUM,Private Sector Service,-60,tier iii,Scheduled PSU,28,68,1029,2,9,0,0,8,8,0,0,0,0,0,0,25,3,0,0,1,20,3
MEDIUM,Public Sector,-234,tier iii,Scheduled PSU,31,104,1670,0,0,1,4,4,19,0,0,0,0,0,5,21,5,0,0,1,20,2
MEDIUM,Private Sector Service,-2,tier iii,Scheduled Private Bank,96,1062,19449,20,13,9,20,6,11,0,0,0,0,0,74,5,16,0,0,0,20,2
MEDIUM,Private Sector Service,-96,tier iii,Scheduled PSU,3,4,35,0,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0,1,20,2
LOW,Business,18,tier iii,Scheduled Private Bank,125,562,260,18,19,24,17,18,15,0,0,0,0,0,0,11,114,0,0,1,20,2
MEDIUM,Private Sector Service,-6,tier iii,Scheduled Private Bank,36,55,14,3,3,0,0,8,8,0,0,0,0,0,0,1,35,0,0,0,30,2
MEDIUM,Government Service,0,tier iii,Scheduled PSU,79,186,2382,8,25,13,0,0,14,0,0,0,0,0,42,2,35,0,0,0,20,2
MEDIUM,Private Sector Service,-31,tier ii,Scheduled PSU,42,69,866,3,0,1,6,7,15,0,0,0,0,0,0,19,23,0,0,0,30,2
MEDIUM,Housewife,3,tier ii,Small Finance bank,50,82,29,3,0,6,10,10,0,0,0,0,0,0,0,2,48,0,0,0,20,2
MEDIUM,Government Service,1755,tier iii,Scheduled PSU,49,260,4747,4,0,8,12,17,8,0,0,0,0,0,9,22,18,0,0,0,20,2
MEDIUM,Private Sector Service,0,tier ii,Scheduled PSU,49,107,11,14,4,0,3,5,5,0,0,0,0,0,0,1,48,0,0,0,20,2
LOW,Business,-1,tier ii,Scheduled PSU,49,109,1014,1,11,2,13,11,0,0,0,0,0,0,11,31,7,0,0,0,20,2
LOW,Business,-7,tier i,Scheduled PSU,12,38,125,0,0,0,0,0,12,0,0,0,0,0,0,6,6,0,0,0,20,2
MEDIUM,Private Sector Service,69,tier iii,Scheduled Private Bank,15,24,130,0,0,0,0,5,4,0,0,0,0,0,0,4,11,0,0,0,20,2
MEDIUM,Private Sector Service,0,tier iii,Scheduled PSU,78,169,7,11,12,5,6,17,7,0,0,0,0,0,0,4,74,0,0,0,20,2
LOW,Professional,0,tier ii,Scheduled PSU,10,16,1,0,0,0,0,3,7,0,0,0,0,0,0,4,6,0,0,1,20,2
MEDIUM,Government Service,-11,tier iii,Scheduled PSU,21,129,2414,0,1,2,0,9,9,0,0,0,0,0,17,4,0,0,0,0,20,2
MEDIUM,Housewife,-11,tier iii,Scheduled PSU,20,42,111,0,3,0,0,1,8,0,0,0,0,0,2,2,16,0,0,0,20,2
LOW,Business,0,tier iii,Scheduled PSU,18,83,1624,3,9,0,0,0,3,0,0,0,0,0,17,1,0,0,0,1,20,2
LOW,Business,15,tier iii,Scheduled Private Bank,27,295,5590,0,1,0,4,4,18,0,0,0,0,0,0,21,6,0,0,1,20,2
MEDIUM,Housewife,149,tier iii,Scheduled PSU,55,178,2160,0,4,8,9,18,10,0,0,0,0,0,25,4,26,0,0,1,20,2
MEDIUM,Private Sector Service,0,tier iii,Scheduled PSU,13,15,1,2,3,3,1,3,0,0,0,0,0,0,0,2,11,0,0,0,20,2
MEDIUM,Private Sector Service,0,tier iii,Scheduled Private Bank,70,1402,28000,0,16,20,12,6,16,0,0,0,0,0,62,1,0,0,0,1,20,2
MEDIUM,Government Service,-787,tier iii,Scheduled PSU,69,191,2791,15,20,5,10,11,0,0,0,0,0,0,0,31,38,0,0,0,20,3
MEDIUM,Private Sector Service,-44,tier iii,Scheduled Private Bank,34,94,1734,15,14,0,0,0,0,0,0,0,0,0,21,13,0,0,0,0,20,2
MEDIUM,Government Service,-6,tier iii,Scheduled Private Bank,74,216,4280,0,3,19,14,21,17,0,0,0,0,0,0,53,2,3,0,0,40,3
